"rank","district","captured","share_of_total"
1,"Pader",5.24204902909696,7.0325095023019
2,"Oyam",3.8124870210886,5.11467005638194
3,"Lamwo",3.69724613986909,4.96006780300137
4,"Kitgum",3.60288773290813,4.83348058683995
5,"Nwoya",3.55884598381817,4.77439605381595
6,"Amuru",3.47740288823843,4.66513546880763
7,"Kotido",3.3546744082123,4.50048817207384
8,"Gulu",3.14300435595214,4.21652065372181
9,"Omoro",2.99020846188068,4.01153619611643
10,"Kiryandongo",2.83867376483977,3.80824370668081
11,"Otuke",2.54489362984896,3.41412080179331
12,"Alebtong",2.44264230318367,3.27694478104166
13,"Katakwi",2.4096688143909,3.23270895417851
14,"Lira",2.40675251558423,3.22879657202497
15,"Agago",2.30570102110505,3.09323019498384
16,"Kole",2.02611963823438,2.71815573063008
17,"Buyende",1.97817965783179,2.65384149666354
18,"Serere",1.88619665428996,2.53044102046281
19,"Masindi",1.88271115534008,2.52576502366284
20,"Amuria",1.86211521923542,2.49813439381546
21,"Kapelebyong",1.85529729351401,2.48898775532436
22,"Napak",1.63762828335166,2.19697229079386
23,"Soroti",1.53615018166602,2.06083359571134
24,"Amolatar",1.48324381932616,1.98985667546088
25,"Abim",1.24814087897539,1.67445259341994
26,"Kayunga",1.03834065049887,1.3929935509431
27,"Kwania",0.89721792563796,1.20366931950873
28,"Kaliro",0.815275002270937,1.09373818684928
29,"Nakasongola",0.696249555796385,0.934058722063315
30,"Namayingo",0.674002699553967,0.904213288139912
31,"Adjumani",0.581002550199628,0.779448252479315
32,"Apac",0.481229122728109,0.645596475650063
33,"Buliisa",0.475961942225695,0.638530250834545
34,"Dokolo",0.462698575109243,0.620736682945114
35,"Namutumba",0.454736098647118,0.610054563973899
36,"Nebbi",0.36842312105,0.494260752860258
37,"Buvuma",0.352111494168639,0.472377769621367
38,"Pakwach",0.315842008218169,0.42372017348396
39,"Luwero",0.302074111998081,0.405249750857799
40,"Pallisa",0.281770138069987,0.378010805019781
41,"Nabilatuk",0.280291141942143,0.376026646866128
42,"Kaberamaido",0.22266080416739,0.298712242561207
43,"Mayuge",0.162582276389003,0.218113450916826
44,"Kibuku",0.140797400847077,0.188887790606387
45,"Karenga",0.09629818610847,0.12918954117049
46,"Kamuli",0.0890062525868416,0.119406994022159
47,"Ngora",0.0565840769559145,0.0759107853937797
48,"Busia",0.0410931818187237,0.0551288608740421
49,"Iganga",0.0310646891593933,0.0416750626495232
50,"Amudat",0,0
51,"Arua",0,0
52,"Budaka",0,0
53,"Bududa",0,0
54,"Bugiri",0,0
55,"Bugweri",0,0
56,"Buhweju",0,0
57,"Buikwe",0,0
58,"Bukedea",0,0
59,"Bukomansimbi",0,0
60,"Bukwo",0,0
61,"Bulambuli",0,0
62,"Bundibugyo",0,0
63,"Bunyangabu",0,0
64,"Bushenyi",0,0
65,"Butaleja",0,0
66,"Butambala",0,0
67,"Butebo",0,0
68,"Gomba",0,0
69,"Hoima",0,0
70,"Ibanda",0,0
71,"Isingiro",0,0
72,"Jinja",0,0
73,"Kaabong",0,0
74,"Kabale",0,0
75,"Kabarole",0,0
76,"Kagadi",0,0
77,"Kakumiro",0,0
78,"Kalaki",0,0
79,"Kalangala",0,0
80,"Kalungu",0,0
81,"Kampala",0,0
82,"Kamwenge",0,0
83,"Kanungu",0,0
84,"Kapchorwa",0,0
85,"Kasese",0,0
86,"Kassanda",0,0
87,"Kazo",0,0
88,"Kibaale",0,0
89,"Kiboga",0,0
90,"Kikuube",0,0
91,"Kiruhura",0,0
92,"Kisoro",0,0
93,"Kitagwenda",0,0
94,"Koboko",0,0
95,"Kumi",0,0
96,"Kween",0,0
97,"Kyankwanzi",0,0
98,"Kyegegwa",0,0
99,"Kyenjojo",0,0
100,"Kyotera",0,0
101,"Luuka",0,0
102,"Lwengo",0,0
103,"Lyantonde",0,0
104,"Madi Okollo",0,0
105,"Manafwa",0,0
106,"Maracha",0,0
107,"Masaka",0,0
108,"Mbale",0,0
109,"Mbarara",0,0
110,"Mitooma",0,0
111,"Mityana",0,0
112,"Moroto",0,0
113,"Moyo",0,0
114,"Mpigi",0,0
115,"Mubende",0,0
116,"Mukono",0,0
117,"Nakapiripirit",0,0
118,"Nakaseke",0,0
119,"Namisindwa",0,0
120,"Ntoroko",0,0
121,"Ntungamo",0,0
122,"Obongi",0,0
123,"Rakai",0,0
124,"Rubanda",0,0
125,"Rubirizi",0,0
126,"Rukiga",0,0
127,"Rukungiri",0,0
128,"Rwampara",0,0
129,"Sheema",0,0
130,"Sironko",0,0
131,"Ssembabule",0,0
132,"Tororo",0,0
133,"Wakiso",0,0
134,"Yumbe",0,0
135,"Zombo",0,0
