"rank","coRisk_captured_at_pick","coRisk_captured_cum","percent_of_baseline"
1,4.68072983250022,4.68072983250022,4.11791770621386
2,2.59006138518453,7.27079121768475,6.39654946235073
3,2.76398038119078,10.0347715988755,8.8281881508955
4,4.15845629945397,14.1932278983295,12.4866306243615
5,3.25895183905959,17.4521797373891,15.3537252788277
6,0.758035015314817,18.2102147527039,16.0206139742232
7,1.441062733531,19.6512774862349,17.2884029640873
8,0.682572223246098,20.333849709481,17.888902532415
9,0.278423808515072,20.6122735179961,18.1338485925261
10,1.72451230511069,22.3367858231068,19.6510051065576
11,0.803453471511602,23.1402392946184,20.357851131612
12,0.930105615407228,24.0703449100256,21.1761206150888
13,1.5865087788552,25.6568536888808,22.5718671813934
14,2.87572495825589,28.5325786471367,25.1018142510959
15,2.55559175089002,31.0881703980267,27.3501210103909
16,1.35845904424787,32.4466294422746,28.5452385992407
17,1.55005153268576,33.9966809749603,29.9089115477777
18,1.46563510596752,35.4623160809278,31.1983183218679
19,2.33535010740161,37.7976661883295,33.2528653479971
20,0.362582573667169,38.1602487619966,33.57185090228
21,1.43010487034917,39.5903536323458,34.8299996051732
22,0.547217428684235,40.13757106103,35.311419473306
23,1.84617561288178,41.9837466739118,36.9356104685392
24,0.593324650079012,42.5770713239908,37.4575936142292
25,1.51009632647038,44.0871676504612,38.7861155805439
26,1.25884448550642,45.3460121359676,39.8935962901211
27,1.63382316753268,46.9798353035003,41.3309681511694
28,1.29265025816858,48.2724855616689,42.4681898188449
29,0.855490727350116,49.127976289019,43.2208161270749
30,2.22018890455365,51.3481651935726,45.1740489622026
31,1.56223837845027,52.9104035720229,46.5484434071199
32,1.65863639116287,54.5690399631858,48.0076449435803
33,1.72208362258971,56.2911235857755,49.5226648004848
34,1.02980624511838,57.3209298308939,50.4286468850089
35,0.947058442980051,58.2679882738739,51.2618307838292
36,1.22941773757339,59.4974060114473,52.3434230250081
37,1.52568680234253,61.0230928137898,53.6856608644749
38,1.54952917434275,62.5726219881326,55.0488742631668
39,1.50834192149341,64.080963909626,56.3758527745979
40,1.29263186082244,65.3735957704484,57.5130582570287
41,0.147096602246165,65.5206923726946,57.6424679270139
42,0.481026822701097,66.0017191953957,58.0656559641894
43,1.93630102649331,67.938020221889,59.76913567075
44,1.14149237982929,69.0795126017183,60.7733747212009
45,1.80466814339161,70.8841807451099,62.3610491154615
46,0.186904232949018,71.0710849780589,62.525479936673
47,1.1693392470479,72.2404242251068,63.5542175400602
48,0.612918399274349,72.8533426243812,64.0934384776395
49,1.07433382421732,73.9276764485985,65.0385941340098
50,0.612557409331203,74.5402338579297,65.5774974871671
