"rank","x_easting_m","y_northing_m","lon","lat","coRisk_at_pick","coRisk_captured_cum","percent_of_baseline"
1,486868,267114.6,32.881882,2.41665,0.0506532306339793,0.0506532306339793,0.0445626735477915
2,454528.6,257874.8,32.591027,2.333002,0.0472822549865342,0.0979354856205135,0.0861596984008306
3,408329.4,271734.6,32.175455,2.458197,0.0467768090466292,0.144712294667143,0.127312052259856
4,454528.6,304074,32.590895,2.750961,0.0467562056138127,0.191468500280955,0.168446280047965
5,509967.6,290214.2,33.08967,2.625638,0.0450743691681961,0.236542869449151,0.20810089582419
6,482248.1,299454.1,32.840291,2.709224,0.0447528798176249,0.281295749266776,0.247472678209548
7,408329.4,244015.1,32.175601,2.20744,0.0443850729419728,0.325680822208749,0.286520878909726
8,597746.1,26878.9,33.878393,0.243153,0.0441064648620206,0.36978728707077,0.325323971434981
9,436048.9,280974.4,32.424735,2.541918,0.0432991431879424,0.413086430258712,0.363416814845624
10,519207.5,331793.5,33.172848,3.001799,0.0429894580694068,0.456075888328119,0.401237209753631
11,537687.2,299454.1,33.339059,2.709187,0.0428275411589607,0.49890342948708,0.438915156680891
12,482248.1,327173.6,32.840257,2.960004,0.0411580249701959,0.540061454457275,0.475124330462362
13,486868,239395.1,32.881903,2.165868,0.0407431619234011,0.580804616380677,0.510968524433267
14,533067.2,151616.7,33.29725,1.371702,0.0403368637980641,0.621141480178741,0.546455273666771
15,362130.2,244015.1,31.760183,2.20715,0.0401722532932653,0.661313733472006,0.581797205203633
16,514587.6,262494.7,33.131207,2.374852,0.039742443400766,0.701056176872772,0.61676100729668
17,579266.4,327173.6,33.713274,2.959785,0.0393814963649035,0.740437673237676,0.65140726271549
18,551546.9,271734.6,33.463658,2.458372,0.0392360646751513,0.779673737912827,0.685925573187199
19,431429,322553.7,32.382987,2.918049,0.0386763142044118,0.818350052117239,0.719951437724393
20,412949.4,299454.1,32.216853,2.70898,0.0375211163155382,0.855871168432777,0.75296100565502
21,505347.7,156236.6,33.048073,1.413518,0.0373804324769065,0.893251600909683,0.785846805606864
22,556166.8,17639,33.504752,0.15958,0.0368297171066141,0.930081318016297,0.818248108341907
23,579266.4,262494.7,33.712937,2.374674,0.0365383314084227,0.96661964942472,0.850393061667792
24,297451.4,253254.9,31.178609,2.2901,0.0362185943169555,1.00283824374168,0.882256723169843
25,556166.8,239395.1,33.505109,2.165788,0.0361461021404716,1.03898434588215,0.914056608972791
26,352890.4,271734.6,31.676872,2.457794,0.0355278546513975,1.07451220053354,0.945312585518965
27,533067.2,359513,33.297642,3.252548,0.0354176219496656,1.10992982248321,0.97647158377096
28,560786.7,123897.2,33.546371,1.120884,0.0345389695293257,1.14446879201254,1.0068575789888
29,454528.6,341033.3,32.590774,3.085327,0.0342075683741139,1.17867636038665,1.036952020809
30,606985.9,248635,33.962146,2.249148,0.0340015396661195,1.21267790005277,1.06686520686445
31,565406.7,211675.6,33.588109,1.914987,0.0338929173914502,1.24657081744422,1.09668283141462
32,602366,299454.1,33.92092,2.708883,0.0336006014806474,1.28017141892487,1.12624328819203
33,523827.4,387232.5,33.214529,3.503346,0.0331902422539478,1.31336166117881,1.15544272743851
34,565406.7,179336.2,33.588017,1.62242,0.0331307281083228,1.34649238928714,1.18458980853507
35,593126.2,216295.5,33.837356,1.956676,0.0329634942170518,1.37945588350419,1.21358976398517
36,357510.3,299454.1,31.718166,2.708553,0.0325732907603324,1.41202917426452,1.24224643413952
37,422189.2,350273.2,32.299688,3.168761,0.0325348246038555,1.44456399886838,1.27086926331764
38,385229.8,327173.6,31.967277,2.959532,0.0324336437796982,1.47699764264808,1.29940307767914
39,459148.5,188576,32.632719,1.706066,0.0321016021029599,1.50909924475104,1.32764477513793
40,560786.7,364132.9,33.547165,3.294238,0.0317327453486271,1.54083199009966,1.35556196727054
41,528447.3,234775.2,33.255823,2.124054,0.0317237229174261,1.57255571301709,1.38347122183132
42,468388.4,160856.5,32.715824,1.455298,0.0315090806267904,1.60406479364388,1.41119164274404
43,468388.4,387232.5,32.715387,3.503327,0.031158147985586,1.63522294162947,1.43860332724386
44,620845.7,202435.8,34.086495,1.831163,0.0311496973412035,1.66637263897067,1.46600757720689
45,343650.6,202435.8,31.594356,1.830939,0.0311355280333092,1.69750816700398,1.49339936158314
46,556166.8,96177.7,33.504808,0.870115,0.0310646896872855,1.72857285669126,1.52072882523376
47,486868,114657.3,32.881967,1.037338,0.030907607972348,1.75948046466361,1.54792009471403
48,426809.1,197815.9,32.341948,1.789578,0.0303734125176183,1.78985387718123,1.5746414005343
49,606985.9,327173.6,33.962686,2.959596,0.0303327367562853,1.82018661393751,1.60132692145692
50,482248.1,211675.6,32.84038,1.915081,0.0302804019716996,1.85046701590921,1.62796640034251
